127.0.0.1 - - [21/Jun/2022:23:22:44 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:23:01 +0900] "GET /MyPage/lobby/Mypage.jsp HTTP/1.1" 200 5284
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:23:01 +0900] "GET /MyPage/common/logo.png HTTP/1.1" 200 9665
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:23:01 +0900] "GET /MyPage/css/Mypage.css HTTP/1.1" 200 6486
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:25:27 +0900] "GET /MyPage/lobby/shop2.html HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:25:42 +0900] "GET /MyPage/OrderList/OrderList-Page.jsp HTTP/1.1" 200 4346
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:25:42 +0900] "GET /MyPage/css/OrderList-Page.css HTTP/1.1" 200 5373
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:25:49 +0900] "GET /MyPage/Info/User-Info.jsp HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:25:49 +0900] "GET /MyPage/css/User-Info.css HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:25:53 +0900] "GET /MyPage/Info/User-InfoUp.jsp HTTP/1.1" 200 5748
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:25:53 +0900] "GET /MyPage/css/User-InfoUp.css HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:25:53 +0900] "GET /MyPage/Info/info-change.jsp HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:26:19 +0900] "GET /MyPage/Info/secession.jsp HTTP/1.1" 200 5929
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:26:19 +0900] "GET /MyPage/css/secession.css HTTP/1.1" 200 5335
0:0:0:0:0:0:0:1 - - [21/Jun/2022:23:26:46 +0900] "GET /MyPage/OrderList/OrderList-Page.jsp HTTP/1.1" 200 4346
